,ticker,data,abertura,maximo,minimo,medio,fechamento,volume
1955,RSUL4,2023-04-27,67.04937693,67.04937693,62.6586017,63.74899377,62.6586017,209536.0
1956,RSUL4,2023-04-28,62.30811853,67.14673336,61.82133636,63.95344229,67.14673336,210232.0
1957,RSUL4,2023-05-02,64.58625912,67.92558484,64.25524724,65.84215713,67.06884821,142026.0
1958,RSUL4,2023-05-03,66.2607898,66.2607898,62.59045219,64.75176506,62.59045219,452313.0
1959,RSUL4,2023-05-04,64.25524724,66.6404799,64.25524724,66.24131851,66.6404799,40825.0
1960,RSUL4,2023-05-05,66.6404799,67.14673336,65.24828288,66.11475515,66.20237594,163007.0
1961,RSUL4,2023-05-08,66.94228485,66.94228485,64.49863832,65.41378882,64.49863832,201575.0
1962,RSUL4,2023-05-09,65.98819178,67.10779079,64.25524724,65.29696109,67.10779079,120731.0
1963,RSUL4,2023-05-11,65.41378882,66.49444525,64.25524724,65.13145515,65.95898485,147197.0
1964,RSUL4,2023-05-12,64.61546605,65.87136406,64.25524724,65.15092644,65.87136406,53538.0
1965,RSUL4,2023-05-15,67.04937693,67.04937693,65.22881159,66.04660564,66.20237594,156045.0
1966,RSUL4,2023-05-16,67.10779079,67.10779079,63.38877496,64.44022446,63.38877496,218433.0
1967,RSUL4,2023-05-17,64.24551159,65.15092644,64.05079872,64.29418981,64.05079872,39629.0
1968,RSUL4,2023-05-18,64.25524724,64.26498288,62.30811853,62.80463635,62.30811853,251622.0
1969,RSUL4,2023-05-19,66.09528386,66.09528386,63.25247595,63.7782007,63.25247595,98277.0
1970,RSUL4,2023-05-22,64.19683338,65.55008782,63.28168288,63.91449971,63.28168288,151006.0
1971,RSUL4,2023-05-23,64.74202941,64.74202941,62.2107621,62.84357893,62.2107621,64554.0
1972,RSUL4,2023-05-24,63.23300467,63.23300467,61.43191062,61.87001457,61.43191062,120747.0
1973,RSUL4,2023-05-25,62.29838289,63.28168288,58.41386112,60.65305913,62.49309576,274160.0
1974,RSUL4,2023-05-26,64.20656902,64.20656902,64.1578908,64.35260367,64.20656902,39665.0
1975,RSUL4,2023-05-29,65.2093403,68.139769,64.25524724,65.75453634,68.139769,94556.0
1976,RSUL4,2023-05-30,65.18013337,67.94505613,63.38877496,64.30392545,63.39851061,310472.0
1977,RSUL4,2023-05-31,63.32062546,64.62520169,62.30811853,63.24274031,64.22604031,376776.0
1978,RSUL4,2023-06-01,66.09528386,66.09528386,61.94789972,63.01882051,61.94789972,297787.0
1979,RSUL4,2023-06-02,62.14261259,62.30811853,61.33455418,61.72397992,61.39296804,145827.0
1980,RSUL4,2023-06-05,62.23996903,62.23996903,60.40966805,61.21772646,61.32481854,176084.0
1981,RSUL4,2023-06-06,61.33455418,62.30811853,60.36098983,60.99380666,61.33455418,338328.0
